"x"
"Rhagadiolus stellatus (L.) Gaert"
"Sorbus aria (L.) Crantz"
"Aquilegia dumeticola Jord."
"Vaccinium myrtillus L."
"Melampyrum cristatum L. subsp. c"
"Lapsana communis L. subsp. commu"
"Urtica dioica L. subsp. dioica"
"Cardamine impatiens L. subsp. im"
"Prunella vulgaris L. subsp. vulg"
"Mycelis muralis (L.) Dumort. sub"
"Ilex aquifolium L."
"Senecio sylvaticus L."
"Hypericum humifusum L."
"Arrhenatherum elatius (L.) P.Bea"
"Salix caprea L."
"Poterium sanguisorba L. subsp. s"
"Orobanche rapum-genistae Thuill."
"Leontodon hispidus L. subsp. his"
"Pentanema salicinum (L.) D.Gut.L"
"Rubia peregrina L."
"Laurus nobilis L."
"Asplenium onopteris L."
"Emerus major Mill. subsp. major"
"Laburnum anagyroides Medik. subs"
"Astragalus glycyphyllos L."
"Adiantum capillus-veneris L."
"Trifolium pratense L. subsp. pra"
"Medicago doliata Carmign."
"Ferula communis L. subsp. commun"
"Asphodelus fistulosus L."
"Daucus broteri Ten."
"Daucus michelii Caruel nom. nud."
"Alchemilla saxatilis Buser"
"Alchemilla glaucescens Wallr."
"Verbascum blattaria L."
"Narcissus tazetta L. subsp. aure"
"Centaurea nigrescens Willd. subs"
"Centaurea arrigonii Greuter"
"Carduus nutans L. subsp. nutans"
"Pulmonaria vallarsae A.Kern. sub"
"Campanula garganica Ten."
"Rhinanthus angustifolius C.C.Gme"
"Rhinanthus alectorolophus (Scop."
"Euphrasia salisburgensis Funck e"
"Cystopteris alpina (Lam.) Desv."
"Thymus serpyllum L. subsp. chama"
"Thymus serpyllum auct. Fl. Ital."
"Thymus acicularis Waldst. & Kit."
"Thymus alpigenus (Heinr. Braun)"
"Thymus pulegioides L."
"Thymus longicaulis C.Presl"
"Lycopus exaltatus L.f."
"Pteridium aquilinum (L.) Kuhn"
"Polystichum setiferum (Forssk.)"
"Polystichum aculeatum (L.) Roth"
"Polypodium vulgare L."
"Polypodium interjectum Shivas"
"Phegopteris connectilis (Michx.)"
"Dryopteris filix-mas (L.) Schott"
"Dryopteris dilatata (Hoffm.) A."
"Dryopteris cambrensis (Fraser-Je"
"Athyrium filix-femina (L.) Roth"
"Pseudathyrium alpestre (Hoppe) N"
"Asplenium trichomanes L."
"Asplenium ruta-muraria L."
"Asplenium ceterach L."
"Asplenium adiantum-nigrum L."
"Polystichum lonchitis (L.) Roth"
"Cystopteris montana (Lam.) Bernh"
"Gymnocarpium dryopteris (L.) New"
"Cystopteris fragilis (L.) Bernh."
"Impatiens balfourii Hook.f."
"Impatiens noli-tangere L."
"Tommasinia altissima (Mill.) Red"
"Dianthus deltoides L. subsp. del"
"Phleum rhaeticum (Humphries) Rau"
"Carex leporina L."
"Betula pendula Roth"
"Limniris pseudacorus (L.) Fuss"
"Rosa andegavensis Bastard"
"Pulicaria vulgaris Gaertn."
"Pulicaria odora (L.) Rchb."
"Pilosella piloselloides (Vill.)"
"Petasites fragrans (Vill.) C.Pre"
"Pallenis spinosa (L.) Cass."
"Matricaria chamomilla L."
"Leucanthemum vulgare Lan. subsp."
"Leucanthemum pallens (Perreym.)"
"Leucanthemum pachyphyllum Marchi"
"Leucanthemum heterophyllum (Will"
"Leontodon tuberosus L."
"Leontodon saxatilis Lam."
"Leontodon rosani (Ten.) DC."
"Lapsana communis L."
"Euphorbia esula L. subsp. tommas"
"Santolina etrusca (Lacaita) Marc"
"Lactuca viminea (L.) J.Presl & C"
"Lactuca saligna L."
"Lactuca muralis (L.) Gaertn."
"Jacobaea erucifolia (L.) P.Gaert"
"Jacobaea aquatica (Hill) P.Gaert"
"Inula spiraeifolia L."
"Inula salicina L."
"Inula hirta L."
"Inula conyzae (Griess.) Meikle"
"Inula britannica L."
"Hypochaeris radicata L."
"Hypochaeris maculata L."
"Hypochaeris glabra L."
"Hypochaeris achyrophorus L."
"Hyoseris radiata L."
"Hieracium sabaudum L."
"Hieracium racemosum Waldst. & Ki"
"Hieracium pallidum Biv."
"Hieracium murorum L."
"Hieracium bifidum Kit. ex Hornem"
"Helminthotheca echioides (L.) Ho"
"Helichrysum italicum (Roth) G.Do"
"Helianthus tuberosus L."
"Helianthus annuus L."
"Hedypnois rhagadioloides (L.) F."
"Gnaphalium uliginosum L."
"Glebionis segetum (L.) Fourr."
"Glebionis coronaria (L.) Spach"
"Galatella linosyris (L.) Rchb.f."
"Galactites tomentosa Moench"
"Filago pyramidata L."
"Filago germanica (L.) Huds."
"Filago eriocephala Guss."
"Erigeron sumatrensis Retz."
"Erigeron canadensis L."
"Erigeron bonariensis L."
"Echinops sphaerocephalus L."
"Dittrichia graveolens (L.) Greut"
"Crepis vesicaria L. subsp. vesic"
"Crepis setosa Haller f."
"Crepis sancta (L.) Babc. subsp."
"Crepis pulchra L."
"Crepis neglecta L."
"Crepis leontodontoides All."
"Crepis capillaris (L.) Wallr."
"Cota triumfettii (L.) J.Gay"
"Cota tinctoria (L.) J.Gay subsp."
"Cota altissima (L.) J.Gay"
"Coleostephus myconis (L.) Cass."
"Cladanthus mixtus (L.) Chevall."
"Cirsium vulgare (Savi) Ten."
"Chondrilla juncea L."
"Centaurea solstitialis L."
"Centaurea jacea L. subsp. gaudin"
"Centaurea deusta Ten."
"Carthamus lanatus L."
"Carlina corymbosa L."
"Carduus pycnocephalus L."
"Calendula officinalis L."
"Calendula arvensis (Vaill.) L."
"Bidens tripartita L."
"Bidens frondosa L."
"Bidens bipinnata L."
"Bellis sylvestris Cirillo"
"Bellis perennis L."
"Artemisia vulgaris L."
"Artemisia alba Turra"
"Artemisia absinthium L."
"Anthemis cotula L."
"Anthemis arvensis L. s.l."
"Andryala integrifolia L."
"Achillea millefolium L. s.l."
"Legousia hybrida (L.) Delarbre"
"Jasione montana L."
"Campanula rapunculus L."
"Campanula persicifolia L. subsp."
"Campanula medium L."
"Campanula erinus L."
"Acanthus mollis L. subsp. mollis"
"Orobanche nana Reut."
"Orobanche minor Sm."
"Orobanche hederae Duby"
"Orobanche crenata Forssk."
"Orobanche alba Stephan ex Willd."
"Odontites luteus (L.) Clairv."
"Melampyrum pratense L. s.l."
"Melampyrum cristatum L."
"Bellardia viscosa (L.) Fisch. &"
"Thymus vulgaris L."
"Thymus oenipontanus Heinr.Braun"
"Teucrium fruticans L."
"Teucrium chamaedrys L. s.l."
"Teucrium capitatum L. subsp. cap"
"Stachys salviifolia Ten."
"Stachys recta L. subsp. recta"
"Stachys officinalis (L.) Trevis."
"Sideritis romana L."
"Scutellaria columnae All. subsp."
"Salvia verbenaca L."
"Salvia clandestina L."
"Rosmarinus officinalis L."
"Prunella vulgaris L."
"Prunella laciniata (L.) L."
"Origanum vulgare L. s.l."
"Micromeria juliana (L.) Benth. e"
"Micromeria graeca (L.) Benth. ex"
"Mentha suaveolens Ehrh. subsp. s"
"Mentha pulegium L."
"Mentha arvensis L."
"Mentha aquatica L."
"Melittis melissophyllum L. subsp"
"Melissa officinalis L."
"Marrubium vulgare L."
"Lycopus europaeus L."
"Lavandula stoechas L. subsp. sto"
"Lamium maculatum L."
"Lamium purpureum L."
"Lamium galeobdolon L. subsp. fla"
"Lamium bifidum Cirillo s.l."
"Lamium amplexicaule L."
"Glechoma hirsuta Waldst. & Kit."
"Glechoma hederacea L."
"Galeopsis tetrahit L."
"Clinopodium nepeta (L.) Kuntze s"
"Clinopodium ascendens (Jord.) Sa"
"Ballota nigra L. subsp. meridion"
"Ajuga reptans L."
"Ajuga chamaepitys (L.) Schreb. s"
"Verbascum thapsus L. subsp. mont"
"Verbascum sinuatum L."
"Verbascum phlomoides L."
"Verbascum nigrum L."
"Scrophularia umbrosa Dumort."
"Scrophularia peregrina L."
"Scrophularia canina L. subsp. ca"
"Veronica teucrium L."
"Veronica serpyllifolia L."
"Veronica polita Fr."
"Veronica persica Poir."
"Veronica officinalis L."
"Veronica montana L."
"Veronica hederifolia L. subsp. h"
"Veronica cymbalaria Bodard subsp"
"Veronica chamaedrys L. s.l."
"Veronica arvensis L."
"Veronica anagallis-aquatica L."
"Veronica agrestis L."
"Plantago media L. subsp. media"
"Plantago major L. subsp. major"
"Plantago coronopus L. subsp. cor"
"Plantago bellardii All."
"Misopates orontium (L.) Raf. sub"
"Misopates calycinum (Lam.) Rothm"
"Linaria vulgaris Mill."
"Linaria pelisseriana (L.) Mill."
"Linaria chalepensis (L.) Mill."
"Kickxia spuria (L.) Dumort. subs"
"Kickxia elatine (L.) Dumort. sub"
"Gratiola officinalis L."
"Globularia bisnagarica L."
"Digitalis lutea L. subsp. lutea"
"Digitalis lutea L. subsp. austra"
"Cymbalaria muralis G.Gaertn., B."
"Callitriche stagnalis Scop."
"Antirrhinum majus L. subsp. maju"
"Antirrhinum latifolium Mill."
"Syringa vulgaris L."
"Phillyrea latifolia L."
"Phillyrea angustifolia L."
"Olea europaea L. var. europaea"
"Ligustrum vulgare L."
"Ligustrum sinense Lour."
"Ligustrum lucidum Aiton"
"Jasminum officinale L."
"Solanum villosum Mill."
"Solanum nigrum L. subsp. nigrum"
"Solanum chenopodioides Lam."
"Physalis alkekengi L."
"Datura stramonium L."
"Ipomoea purpurea (L.) Roth"
"Dichondra micrantha Urb."
"Cuscuta epithymum (L.) L. subsp."
"Cuscuta cesattiana Bertol."
"Cuscuta campestris Yunck."
"Convolvulus cantabrica L."
"Calystegia sepium (L.) R.Br. sub"
"Symphytum tuberosum L. subsp. an"
"Symphytum bulbosum Schimp. subsp"
"Pulmonaria hirta L. subsp. hirta"
"Myosotis sylvatica Hoffm. subsp."
"Myosotis sicula Guss."
"Myosotis scorpioides L."
"Myosotis ramosissima Rochel subs"
"Myosotis nemorosa Besser"
"Myosotis arvensis (L.) Hill"
"Heliotropium europaeum L."
"Echium vulgare L. s.l."
"Echium italicum L. s.l."
"Cynoglossum creticum Mill."
"Buglossoides arvensis (L.) I.M.J"
"Borago officinalis L."
"Anchusa azurea Mill."
"Vincetoxicum hirundinaria Medik."
"Vinca minor L."
"Vinca major L."
"Periploca graeca L."
"Araujia sericifera Brot."
"Exaculum pusillum (Lam.) Caruel"
"Cicendia filiformis (L.) Delarbr"
"Centaurium tenuiflorum (Hoffmann"
"Centaurium erythraea Rafn subsp."
"Blackstonia perfoliata (L.) Huds"
