"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Phragmites australis (Cav.) Trin. ex Steud. subsp. australis",99.4,1200,88.5,0.3
"Drosera rotundifolia L.",40,200,39.8,0.3
"Lythrum virgatum L.",88.3,100,88.3,88.3
"Utricularia vulgaris L.",99.2,800,71.8,0.3
"Typha angustifolia L.",67.2,400,62.1,0.3
"Thysselinum palustre (L.) Hoffm.",99.9,500,88.3,35.9
"Schoenus nigricans L.",100,800,88.3,38
"Stachys palustris L.",98,500,88.3,2.2
"Lonicera etrusca Santi",100,500,90.4,8.6
"Cenchrus longispinus (Hack.) Fernald",88.5,200,66.7,65.3
"Bolboschoenus maritimus (L.) Palla",99.8,1000,66.3,21.8
"Centaurea aplolepa Moretti subsp. subciliata (DC.) Arcang.",100,2000,204.2,32
"Spiranthes aestivalis (Poir.) Rich.",99.9,1100,365.1,2.6
"Verbena bonariensis L.",99,200,90,90
"Cyperus eragrostis Lam.",8.5,300,2.9,2.9
"Capparis spinosa L. subsp. rupestris (Sm.) Nyman",5.1,200,2.9,2.2
"Prunus avium L.",98.2,200,95.3,62
"Dryopteris dilatata (Hoffm.) A.Gray",1039.6,400,846.7,89.4
"Rhamnus alaternus L. subsp. alaternus",88.7,400,59.8,0.1
"Ulex europaeus L. subsp. europaeus",99.7,800,59.8,2
"Sporobolus virginicus (L.) Kunth",79.1,300,54.5,23.2
"Convolvulus soldanella L.",99.3,800,55.7,25.8
"Cyperus capitatus Vand.",54.5,100,54.5,54.5
"Salsola tragus L.",89.5,500,54.5,2.2
"Ambrosia psilostachya DC.",69.3,300,54.5,7.1
"Achillea maritima (L.) Ehrend. & Y.P.Guo subsp. maritima",81.5,300,54.5,25.8
"Calamagrostis arenaria (L.) Roth subsp. arundinacea (Husn.) Banfi, Galasso & Bartolucci",83.5,600,54.5,2.2
"Crepis suffreniana (DC.) Steud.",100,700,85.7,43.8
"Eryngium maritimum L.",97,600,55.7,23.2
"Oenothera biennis L.",96.8,1100,57.7,1.3
"Echinophora spinosa L.",89.6,400,54.5,23.2
"Oenothera sinuosa W.L.Wagner & Hoch",54.5,100,54.5,54.5
"Oenothera stricta Link subsp. stricta",78.6,500,54.5,1.3
"Euphorbia paralias L.",96.7,500,55.7,43.8
"Polygonum maritimum L.",93.2,500,54.5,23.2
"Juniperus macrocarpa Sm.",100,2000,277.5,35.1
"Tripidium ravennae (L.) H.Scholz subsp. ravennae",99.3,600,85.7,8.3
"Silene otites (L.) Wibel",54.5,100,54.5,54.5
"Phleum arenarium L. subsp. caesium H.Scholz",161.5,400,290.2,7.4
"Rostraria pubescens (Lam.) Trin.",90.6,500,69.2,5
"Festuca pyramidata Link",54.5,100,54.5,54.5
"Tribulus terrestris L.",89.2,300,69.2,23.2
"Lotus hirsutus L.",89.6,500,54.5,3.7
"Hypochaeris radicata L.",94.8,400,84.7,2.2
"Plantago arenaria Waldst. & Kit.",98.5,700,69.2,8.6
"Solidago virgaurea L. subsp. litoralis (Savi) Briq. & Cavill.",100,1900,169.3,19.9
"Ruppia maritima L.",97.7,400,69.4,23.2
"Najas major All.",93.7,500,69.4,2.2
"Callitriche obtusangula Le Gall",99.6,400,85.7,35.9
"Helosciadium nodiflorum (L.) W.D.J.Koch",98.9,600,71.8,2.2
"Myriophyllum spicatum L.",96.7,600,69.4,2.2
"Sagittaria sagittifolia L.",98.2,800,69.4,2.2
"Azolla filiculoides Lam.",100,2000,219.4,7.7
"Spirodela polyrhiza (L.) Schleid.",98.7,400,85.2,34.1
