"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Raphanus raphanistrum L. subsp. landra (Moretti ex DC. Bonnier & Layens",100,10,69.3,36.7
"Reichardia picroides (L. Roth",100,10,98.7,31
"Rhamnus alaternus L. subsp. alaternus",100,10,98.5,38.4
"Rhamnus cathartica L.",100,9,96.1,30
"Robinia pseudoacacia L.",100,10,99.3,89.4
"Rosa sempervirens L.",100,10,98.5,47.3
"Rubia peregrina L.",100,10,98.5,95.4
"Rubus ulmifolius Schott",100,10,98.7,97.6
"Rumex acetosella L. subsp. acetosella",100,10,97.8,44.4
"Rumex acetosella L. subsp. pyrenaicus (Pourr. ex Lapeyr. Akeroyd",100,6,98.5,66.7
"Rumex conglomeratus Murray",100,10,98.7,43.9
"Rumex crispus L.",100,10,98.7,66.7
"Rumex sanguineus L.",100,10,97.6,91.5
"Ruscus aculeatus L.",100,10,98.5,95.8
"Salicornia fruticosa L.",100,4,97.3,35.7
"Salicornia perennans Willd. subsp. perennans",100,10,96.2,58.9
"Salix alba L.",100,10,98.5,41.7
"Salix caprea L.",100,10,98,22
"Salix cinerea L.",100,10,98,33.1
"Salpichroa origanifolia (Lam. Thell.",100,10,99.6,75.2
"Salsola tragus L.",100,10,66.3,46.5
"Sambucus ebulus L.",100,10,98.7,43.2
"Sambucus nigra L.",100,10,98.5,47.8
"Samolus valerandi L.",100,10,98.7,97.8
"Schoenoplectus tabernaemontani (C.C.Gmel. Palla",100,10,98.7,97.8
"Schoenus nigricans L.",100,10,98.2,54.5
"Scirpoides holoschoenus (L. Soják",100,10,97.8,85.7
"Scrophularia nodosa L.",100,10,98.7,43.2
"Scutellaria galericulata L.",100,10,97.4,30
"Senecio vulgaris L. subsp. vulgaris",100,10,98.7,47.7
"Setaria italica (L. P.Beauv. subsp. viridis (L. Thell.",100,8,98.7,30
"Setaria parviflora (Poir. Kerguélen",100,5,98.7,66.7
"Sherardia arvensis L.",100,10,98.5,96.7
"Silene canescens Ten.",100,10,75.9,41.1
"Silene gallica L.",100,10,98.5,47.4
"Silene latifolia Poir.",100,10,98.7,68.9
"Sinapis arvensis L. subsp. arvensis",100,10,98.7,35.9
"Smilax aspera L.",100,10,98.5,95.4
"Solanum chenopodioides Lam.",100,10,98.7,49.3
"Solanum dulcamara L.",100,10,98.7,71.9
"Solanum nigrum L.",100,10,98.5,49.5
"Sonchus asper (L. Hill subsp. asper",100,10,98.7,54
"Sonchus bulbosus (L..Kilian & Greuter subsp. bulbosus",100,5,97.8,25.7
"Sonchus maritimus L.",100,10,97.8,19.4
"Sonchus oleraceus L.",100,10,98.7,45.7
"Sorghum halepense (L. Pers.",100,9,98.7,30
"Spartium junceum L.",100,10,90.1,36.7
"Spergula arvensis L.",100,10,98.5,25.6
"Spergularia media (L. C.Presl",100,9,98.7,33
"Spiranthes aestivalis (Poir. Rich.",100,10,68.7,29
"Spiranthes spiralis (L. Chevall.",100,7,99.6,24.6
"Spirodela polyrhiza (L. Schleid.",100,10,98.5,30
"Sporobolus aculeatus (L. P.M.Peterson",100,9,96.2,30.7
"Sporobolus cryptandrus (Torr. A.Gray",100,3,97.6,97.6
"Sporobolus indicus (L. R.Br.",100,10,97.8,28.8
"Sporobolus pumilus (Roth P.M.Peterson & Saarela",100,10,97.1,46.5
"Stachys palustris L.",100,10,98.7,36.1
"Stellaria media (L. Vill. subsp. media",100,10,98.7,68.9
"Suaeda maritima (L. Dumort.",100,9,97.4,30.4
"Sulla coronaria (L. B.H.Choi & H.Ohashi",100,10,98.7,35.3
"Symphyotrichum squamatum (Spreng. G.L.Nesom",100,10,98.7,66.7
"Symphytum tanaicense Steven",100,10,97.8,35
"Tamarix gallica L.",100,10,98.7,34.7
"Taraxacum F.H.Wigg. sect. Taraxacum",100,6,97.8,20.6
"Taxodium distichum (L. Rich.",100,7,95.8,30
"Teucrium capitatum L. subsp. capitatum",100,10,97.6,41.3
"Teucrium chamaedrys L. subsp. chamaedrys",100,10,97.8,39.9
"Teucrium scordium L. subsp. scordioides (Schreb. Arcang.",100,9,95.8,20.7
"Thelypteris palustris Schott",100,10,98,89.5
"Thinopyrum acutum (DC. Banfi",100,10,98.7,44.2
"Thinopyrum junceum (L. Á.Löve",100,10,98.7,59.7
"Tolpis virgata (Desf. Bertol. subsp. virgata",100,3,98.5,44.4
"Torilis arvensis (Huds. Link subsp. arvensis",100,10,98.7,54
"Tragopogon porrifolius L.",100,7,99.8,23.5
"Tribulus terrestris L.",100,10,94.6,31.9
"Trifolium alexandrinum L.",100,5,98.5,24
"Trifolium arvense L. subsp. arvense",100,10,98.5,69.3
"Trifolium campestre Schreb.",100,10,98.7,63.8
"Trifolium cherleri L.",100,9,97.8,31.9
"Trifolium fragiferum L. subsp. fragiferum",100,8,98.2,20.6
"Trifolium glomeratum L.",100,4,97.8,34.3
"Trifolium incarnatum L. subsp. incarnatum",100,5,99.3,31.3
"Trifolium micranthum Viv.",100,3,98.5,31.9
"Trifolium nigrescens Viv. subsp. nigrescens",100,10,98.5,38.4
