"Taxon","Estimated_Spatiotemporal_probability","Number_of_records","Max_probability","Min_probability"
"Acer pseudoplatanus L.",30,1,30,30
"Adiantum capillus-veneris L.",30,1,30,30
"Alisma lanceolatum With.",30,1,30,30
"Allium tenuiflorum Ten.",30,1,30,30
"Amaranthus deflexus L.",30,1,30,30
"Anacamptis ×lloydiana Rouy",30,1,30,30
"Anisantha rigida (Roth Hyl.",30,1,30,30
"Antirrhinum latifolium Mill.",30,1,30,30
"Arctium lappa L.",30,1,30,30
"Artemisia alba Turra",30,1,30,30
"Astragalus glycyphyllos L.",30,1,30,30
"Bothriochloa ischaemum (L. Keng",30,1,30,30
"Callitriche brutia Petagna subsp. brutia",30,1,30,30
"Callitriche lenisulca Clavaud",30,1,30,30
"Centaurea deusta Ten. subsp. deusta",30,1,30,30
"Chenopodiastrum murale (L. S.Fuentes, Uotila & Borsch",30,1,30,30
"Cleistogenes serotina (L. Keng subsp. serotina",30,1,30,30
"Cyperus eragrostis Lam.",30,1,30,30
"Elaeagnus commutata Bernh. ex Rydb.",30,1,30,30
"Epipactis atrorubens (Hoffm. Besser",30,1,30,30
"Eragrostis cilianensis (All. Vignolo ex Janch. subsp. cilianensis",30,1,30,30
"Erigeron bonariensis L.",30,1,30,30
"Fumana ericifolia Wallr.",30,1,30,30
"Hesperocyparis macrocarpa (Hartw. ex Gordon Bartel",30,1,30,30
"Hieracium racemosum Waldst. & Kit. ex Willd.",30,1,30,30
"Hirschfeldia incana (L. Lagr.-Foss. subsp. incana",30,1,30,30
"Juncus anceps Laharpe",30,1,30,30
"Kickxia elatine (L. Dumort. subsp. elatine",30,1,30,30
"Leucanthemum pachyphyllum Marchi & Illum.",30,1,30,30
"Lycopsis arvensis L.",30,1,30,30
"Malus domestica (Suckow Borkh.",30,1,30,30
"Melica minuta L. subsp. latifolia (Coss. W.Hempel",30,1,30,30
"Molinia arundinacea Schrank",30,1,30,30
"Morus alba L.",30,1,30,30
"Muscari commutatum Guss.",30,1,30,30
"Nanozostera noltei (Hornem. Toml. & Posl.",30,1,30,30
"Neottia nidus-avis (L. Rich.",30,1,30,30
"Oenothera glazioviana Micheli",30,1,30,30
"Ophrys passionis Sennen ex Devillers-Tersch. & Devillers subsp. passionis",30,1,30,30
"Oxalis debilis Kunth",30,1,30,30
"Phleum nodosum L.",30,1,30,30
"Platanthera bifolia (L. Rich.",30,1,30,30
"Platanus hispanica Mill. ex Münchh.",30,1,30,30
"Poa infirma Kunth",30,1,30,30
"Quercus rubra L.",30,1,30,30
"Rosa multiflora Thunb.",30,1,30,30
"Sagina maritima Don",30,1,30,30
"Sedum acre L.",30,1,30,30
"Serapias ×todaroi Tineo",30,1,30,30
"Silene italica (L. Pers. subsp. italica",30,1,30,30
"Sparganium microcarpum (Neuman Čelak.",30,1,30,30
"Tamarix parviflora DC.",30,1,30,30
"Taraxacum F.H.Wigg. sect.rythrosperma (H.Lindb. Dahlst.",30,1,30,30
"Taraxacum sect. Palustria (H.Lindb. Dahlst.",30,1,30,30
"Tilia platyphyllos Scop. subsp. platyphyllos",30,1,30,30
"Triticum vagans (Jord.& Fourr. Greuter",30,1,30,30
"Valerianella dentata (L. Pollich",30,1,30,30
"Viola canina L. subsp. canina",30,1,30,30
"Zephyranthes candida (Lindl. Herb.",30,1,30,30
"Erodium maritimum L'Hér.",29.1,1,29.1,29.1
"Centranthus ruber (L. DC. subsp. ruber",29,1,29,29
"Euphorbia exigua L. subsp. exigua",29,1,29,29
"Euphorbia prostrata Aiton",29,1,29,29
"Lysimachia minima (L. U.Manns & Anderb.",29,1,29,29
"Oenothera italica Rostanski & Soldano",29,1,29,29
"Phleum pratense L. subsp. pratense",29,1,29,29
"Pistia stratiotes L.",28.7,1,28.7,28.7
"Pinus halepensis Mill. subsp. halepensis",28.6,1,28.6,28.6
"Leontodon crispus Vill.",28.5,1,28.5,28.5
"Valeriana officinalis L. subsp. officinalis",28.5,1,28.5,28.5
"Aspidistra elatior Blume",27.8,1,27.8,27.8
"Dysphania multifida (L. Mosyakin & Clemants",27.7,1,27.7,27.7
"Digitaria ciliaris (Retz. Koeler",27.5,1,27.5,27.5
"Rhynchospora alba (L. Vahl",27.3,1,27.3,27.3
"Utricularia minor L.",26.9,1,26.9,26.9
"Corylus avellana L.",26.7,1,26.7,26.7
"Hieracium umbellatum L.",26.7,1,26.7,26.7
"Neottia ovata (L. Bluff & Fingerh.",26.7,1,26.7,26.7
"Petrosedum sediforme (Jacq. Grulich subsp. sediforme",26.4,1,26.4,26.4
"Dysphania atriplicifolia (Spreng. G.Kadereit, Sukhor. & Uotila",26.1,1,26.1,26.1
"Asperula laevigata L.",25.8,1,25.8,25.8
"Sporobolus alopecuroides (Piller & Mitterp. P.M.Peterson",25.7,1,25.7,25.7
"Agrostemma githago L. subsp. githago",25.6,1,25.6,25.6
"Helichrysum luteoalbum (L. Rchb.",25.6,1,25.6,25.6
"Hypericum australe Ten.",25.6,1,25.6,25.6
"Inula helenium L. subsp. helenium",25.6,1,25.6,25.6
"Moenchia erecta (L. G.Gaertn., B.Mey. & Scherb. subsp. erecta",25.6,1,25.6,25.6
"Vicia benghalensis L.",25.6,1,25.6,25.6
"Valerianella rimosa Bastard",25.1,1,25.1,25.1
"Lythrum virgatum L.",24.9,1,24.9,24.9
"Leontodon tuberosus L.",24.3,1,24.3,24.3
"Carex olbiensis Jord.",24.1,1,24.1,24.1
"Pistacia terebinthus L. subsp. terebinthus",23.1,1,23.1,23.1
"Acanthus mollis L. subsp. mollis",23,1,23,23
"Rumex patientia L. subsp. patientia",23,1,23,23
"Cynoglossum officinale L.",22.4,1,22.4,22.4
"Lathyrus annuus L.",22.4,1,22.4,22.4
"Pyrus cordata Desv.",22.3,1,22.3,22.3
"Achillea ageratum L.",22.1,1,22.1,22.1
"Cynanchum acutum L. subsp. acutum",22.1,1,22.1,22.1
"Ophrys tetraloniae W.P.Teschner",22.1,1,22.1,22.1
"Tordylium maximum L.",21.7,1,21.7,21.7
"Convolvulus althaeoides L.",21.6,1,21.6,21.6
"Diplotaxis erucoides (L. DC. subsp. erucoides",21.6,1,21.6,21.6
"Galium tricornutum Dandy",21.6,1,21.6,21.6
"Sonchus arvensis L. subsp. uliginosus (M.Bieb.yman",20.6,1,20.6,20.6
"Stachys heraclea All.",20.6,1,20.6,20.6
"Veronica beccabunga L. subsp. beccabunga",20.6,1,20.6,20.6
"Oenothera oehlkersi Kappus ex Rostanski",20.1,1,20.1,20.1
"Oxybasis chenopodioides (L. S.Fuentes, Uotila & Borsch",19.3,1,19.3,19.3
"Galatella linosyris (L. Rchb.f. subsp. linosyris",2.2,1,2.2,2.2
